Trial_type,Response,Points_earned,EV,PE,choiceprob,pred_choice,pred_reward,run_id,seed,param_beta,param_lossave,param_alpha,param_exp
1.0,1,-495,24.92285860435979,-1.7461429302179896,0.5619866205212565,1,-10.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-8.788542586280403,,0.489016089169824,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,63.577723087908936,-3.428886154395447,0.6537982750934058,1,-5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-8.788542586280403,0.9394271293140202,0.489016089169824,1,10.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,60.148836933513486,-3.257441846675674,0.645996747806347,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,-38.007748452447345,2.150387422622367,0.45263278319793987,1,5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-7.849115456966383,,0.49018986478986265,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,23.1767156741418,,0.5576838080342471,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,56.89139508683781,,0.6385125372321616,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,56.89139508683781,,0.6385125372321616,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,495,-7.849115456966383,0.8924557728483192,0.49018986478986265,1,10.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,56.89139508683781,-3.0945697543418906,0.6385125372321616,1,-5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-6.956659684118064,,0.49130505202925456,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,-6.956659684118064,,0.49130505202925456,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,53.79682533249592,-2.9398412666247964,0.6313396552296807,1,-5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,23.1767156741418,,0.5576838080342471,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-6.956659684118064,,0.49130505202925456,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,-6.956659684118064,,0.49130505202925456,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-35.85736102982498,2.042868051491249,0.4552979755362896,1,5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,50.856984065871124,-2.7928492032935566,0.6244711519376719,1,-5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,48.06413486257757,,0.6178993084668236,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-6.956659684118064,-4.652167015794097,0.49130505202925456,1,-100.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,-11.60882669991216,1.0804413349956081,0.4854930393724213,1,10.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-33.81449297833373,,0.4578322847164249,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,-33.81449297833373,-23.109275351083312,0.4578322847164249,1,-496.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,48.06413486257757,-2.6532067431288784,0.6178993084668236,1,-5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-10.528385364916552,,0.48684255661559084,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,-56.923768329417044,3.096188416470852,0.42932177113388154,1,5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-10.528385364916552,,0.48684255661559084,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,-10.528385364916552,-4.473580731754173,0.48684255661559084,1,-100.0,0,42,0.01,0.5,0.05,1.0
2.0,1,495,-15.001966096670724,-4.249901695166463,0.48125632995387035,1,-100.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,-53.82757991294619,-22.108621004352692,0.4331187516638354,1,-496.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,23.1767156741418,3.84116421629291,0.5576838080342471,1,100.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,45.41092811944869,-2.5205464059724347,0.6116158070010744,1,-5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,42.89038171347626,-2.394519085673813,0.6056118797291583,1,-5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,40.495862627802445,-2.274793131390122,0.5998784382064811,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-75.93620091729889,,0.40620383718411085,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,-75.93620091729889,4.0468100458649445,0.40620383718411085,1,5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,38.221069496412326,-2.1610534748206165,0.5944061848338268,1,-5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.0,-5.0,0.5,1,-100.0,2,44,0.05,0.5,0.05,1.0
3.0,1,100,0.0,-0.25,0.5,1,-5.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,0.0,-0.5,0.5,1,-10.0,2,44,0.05,0.5,0.05,1.0
4.0,0,0,0.0,0.25,0.5,1,5.0,2,44,0.05,0.5,0.05,1.0
4.0,1,-100,0.25,,0.5031249593105316,2,0.0,2,44,0.05,0.5,0.05,1.0
4.0,2,0,0.25,,0.5031249593105316,2,0.0,2,44,0.05,0.5,0.05,1.0
3.0,1,-10,-0.25,,0.4984375050862431,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,-0.5,-0.47500000000000003,0.4968750406894683,1,-10.0,2,44,0.05,0.5,0.05,1.0
2.0,1,-5,-5.0,,0.46879062662624377,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,2,0,-0.9750000000000001,,0.4939065516941113,2,0.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,-0.9750000000000001,-0.45125000000000004,0.4939065516941113,1,-10.0,2,44,0.05,0.5,0.05,1.0
2.0,1,-5,-5.0,,0.46879062662624377,2,0.0,2,44,0.05,0.5,0.05,1.0
3.0,2,0,-0.25,,0.4984375050862431,2,0.0,2,44,0.05,0.5,0.05,1.0
4.0,2,0,0.25,0.23750000000000002,0.5031249593105316,1,5.0,2,44,0.05,0.5,0.05,1.0
4.0,2,0,0.48750000000000004,,0.5060934483058888,2,0.0,2,44,0.05,0.5,0.05,1.0
2.0,1,-5,-5.0,0.75,0.46879062662624377,1,10.0,2,44,0.05,0.5,0.05,1.0
2.0,2,0,-4.25,-4.7875000000000005,0.4734624606323862,1,-100.0,2,44,0.05,0.5,0.05,1.0
1.0,1,5,-1.42625,,0.49108688180121757,2,0.0,2,44,0.05,0.5,0.05,1.0
3.0,2,0,-0.25,-0.23750000000000002,0.4984375050862431,1,-5.0,2,44,0.05,0.5,0.05,1.0
